customer_id,email_draft
12004,"Dear Customer 12004,

We’ve noticed it’s been a while since your last visit, and we truly miss having you around. Your favorite picks are waiting, and we’d love to hear what you’ve been up to.

Enjoy a 15% welcome‑back discount on your next order with code MISSYOU15. Hope to see you soon!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12006,"Dear Customer 12006,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well.

As a thank‑you for coming back, enjoy 15% off your next order with code MISSYOU15.

We’re here if you need anything – just hit reply!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12008,"Dear Customer 12008,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well.

To welcome you back, enjoy a 15% discount on your next purchase with code MISSYOU15. It’s our way of saying thanks for being part of our community.

Feel free to reach out if you need any help—our team is always here for you.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12013,"Dear Customer 12013,

We’ve missed you! It’s been a while since your last visit, and we hope you’re doing well. To welcome you back, enjoy 15% off with code MISSYOU15 on your next order.

If there’s anything we can help with, just reply—we’re here for you.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12024,"Dear Customer 12024,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well.

To welcome you back, enjoy 15% off your next purchase with code MISSYOU15. It’s our little way of saying thank you.

Drop by soon – we’d love to see you again!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12025,"Dear Customer 12025,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well.

To welcome you back, here’s a 15% discount on your next purchase—just use code MISSYOU15 at checkout. We’d love to see you again soon!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12026,"Dear Customer 12026,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well.

To welcome you back, enjoy a 15% discount on your next purchase with code MISSYOU15. It’s our way of saying thank you for being part of our community.

We look forward to serving you again soon!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12031,"Dear Customer 12031,

We’ve just launched fresh arrivals that match your style—bold, vibrant, and ready to impress.

Enjoy an exclusive 10% off your next order with code HELLO10. Shop now and stay ahead of the trend!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12042,"Dear Customer 12042,

We’ve noticed it’s been a while since your last visit, and we truly miss having you with us. Your favorite items are still waiting, and we’d love to welcome you back.

Enjoy a 15% welcome‑back discount on your next purchase with code MISSYOU15. Feel free to reach out if you need any help.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12043,"Dear Customer 12043,

We’ve noticed it’s been a while since your last visit, and we truly miss having you around. Your favorite pieces are waiting, and we’d love to welcome you back.

Enjoy a 15% welcome‑back discount with code MISSYOU15 on your next purchase. It’s our way of saying thank you for being part of our community.

Hope to see you soon!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12050,"Dear Customer 12050,

We’ve missed you at Wojciech Kiełbowicz & Co! It’s been a while since your last visit, and we hope you’re doing well.

As a thank‑you for coming back, enjoy 15% off your next purchase with code MISSYOU15. We can’t wait to see you again!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12057,"Dear Customer 12057,

Discover our fresh new arrivals—stylish, vibrant, and ready to wow! From bold accessories to sleek apparel, there's something to spark your next look.

Enjoy an exclusive 10% off your next order with code HELLO10. Shop now and feel the excitement!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12060,"Dear Customer 12060,

We’ve missed you! It’s been a while since your last visit, and we’d love to see you back at Wojciech Kiełbowicz & Co.

Enjoy a 15% welcome‑back discount with code MISSYOU15 on your next purchase. If you have any questions, our friendly team is here to help.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12063,"Dear Customer 12063,

We’ve noticed it’s been a while since your last visit, and we genuinely miss having you with us. Your presence always brightens our community.

To welcome you back, enjoy 15% off your next purchase with code MISSYOU15. We hope you’ll find something you love and feel right at home again.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12067,"Dear Customer 12067,

Thank you for your continued trust in Wojciech Kiełbowicz & Co. Your loyalty inspires us to maintain the highest standards of quality and service.

As a token of our appreciation, enjoy an exclusive 20% discount on your next purchase with code VIP20. We look forward to serving you again soon.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12071,"Dear Customer 12071,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well.

As a small thank‑you, enjoy 15% off your next purchase with code MISSYOU15.

We look forward to serving you again soon!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12078,"Dear Customer 12078,

We’ve missed having you around and hope you’re doing well. Your last visit was a while ago, and we’d love to welcome you back.

Enjoy 15% off your next purchase with code MISSYOU15 – just our way of saying thank you.

We look forward to seeing you soon!

Best regards,
The Wojciech Kiełbowicz & Co Team"
12080,"Dear Customer 12080,

We’ve missed you at Wojciech Kiełbowicz & Co and hope you’re doing well. It’s been a while since your last visit, and we’d love to welcome you back.

As a thank‑you, enjoy 15% off your next purchase with code MISSYOU15. Feel free to explore our new collection – we think you’ll love it.

Best regards,
The Wojciech Kiełbowicz & Co Team"
12081,ERROR
12082,ERROR
12087,ERROR
12089,ERROR
12090,ERROR
12093,ERROR
12100,ERROR
12115,ERROR
12116,ERROR
12120,ERROR
12128,ERROR
12130,ERROR
12134,ERROR
12151,ERROR
12154,ERROR
12160,ERROR
12161,ERROR
12165,ERROR
12167,ERROR
12171,ERROR
12174,ERROR
12185,ERROR
